ptid;enid;name;fullname
KOMMUNENUMMER;;1253;
KOMMUNENUMMER;;1256;
KOMMUNENUMMER;;1259;
KOMMUNENUMMER;;1260;
KOMMUNENUMMER;;1263;
KOMMUNENUMMER;;1264;
KOMMUNENUMMER;;1265;
KOMMUNENUMMER;;1266;
KOMMUNENUMMER;;1401;
KOMMUNENUMMER;;1411;
KOMMUNENUMMER;;1412;
KOMMUNENUMMER;;1413;
KOMMUNENUMMER;;1416;
KOMMUNENUMMER;;1417;
KOMMUNENUMMER;;1418;
KOMMUNENUMMER;;1419;
KOMMUNENUMMER;;1420;
KOMMUNENUMMER;;1421;
KOMMUNENUMMER;;1422;
KOMMUNENUMMER;;1424;
KOMMUNENUMMER;;1426;
KOMMUNENUMMER;;1428;
KOMMUNENUMMER;;1429;
KOMMUNENUMMER;;1430;
KOMMUNENUMMER;;1431;
KOMMUNENUMMER;;1432;
KOMMUNENUMMER;;1433;
KOMMUNENUMMER;;1438;
KOMMUNENUMMER;;1439;
KOMMUNENUMMER;;1441;
KOMMUNENUMMER;;1443;
KOMMUNENUMMER;;1444;
KOMMUNENUMMER;;1445;
KOMMUNENUMMER;;1449;
KOMMUNENUMMER;;1502;
KOMMUNENUMMER;;1504;
KOMMUNENUMMER;;1505;
KOMMUNENUMMER;;1511;
KOMMUNENUMMER;;1514;
KOMMUNENUMMER;;1515;
KOMMUNENUMMER;;1516;
KOMMUNENUMMER;;1517;
KOMMUNENUMMER;;1519;
KOMMUNENUMMER;;1520;
KOMMUNENUMMER;;1523;
KOMMUNENUMMER;;1524;
KOMMUNENUMMER;;1525;
KOMMUNENUMMER;;1526;
KOMMUNENUMMER;;1528;
KOMMUNENUMMER;;1529;
KOMMUNENUMMER;;1531;
KOMMUNENUMMER;;1532;
KOMMUNENUMMER;;1534;
KOMMUNENUMMER;;1535;
KOMMUNENUMMER;;1539;
KOMMUNENUMMER;;1543;
KOMMUNENUMMER;;1545;
KOMMUNENUMMER;;1546;
